title,price_gbp,price_inr
Slow States of Collapse: Poems,57.31,6046.205
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,6039.875
The Past Never Ends,56.5,5960.75
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,5951.254999999999
The Secret of Dreadwillow Carse,56.13,5921.715
Birdsong: A Story in Pictures,54.64,5764.52
Sapiens: A Brief History of Humankind,54.23,5721.264999999999
Tipping the Velvet,53.74,5669.570000000001
Aladdin and His Wonderful Lamp,53.13,5605.215
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.595
