title,rating,price_gbp
Sapiens: A Brief History of Humankind,5,54.23
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29
"We Love You, Charlie Freeman",5,50.27
Private Paris (Private #10),5,47.61
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,40.3
Rip it Up and Start Again,5,35.02
Black Dust,5,34.53
Chase Me (Paris Nights #2),5,25.27
The Elephant Tree,5,23.82
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11
The Four Agreements: A Practical Guide to Personal Freedom,5,17.66
Set Me Free,5,17.46
Thirst,5,17.27
Sophie's World,5,15.94
The Past Never Ends,4,56.5
Behind Closed Doors,4,52.22
Sharp Objects,4,47.82
Wall and Piece,4,44.18
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18
The Dirty Little Secrets of Getting Your Dream Job,4,33.34
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6
Shakespeare's Sonnets,4,20.66
This One Summer,4,19.49
Untitled Collection: Sabbath Poems 2014,4,14.27
