title,price_gbp,rating
Shakespeare's Sonnets,20.66,4
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4
The Requiem Red,22.65,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
The Elephant Tree,23.82,5
Olio,23.88,1
Chase Me (Paris Nights #2),25.27,5
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1
Reasons to Stay Alive,26.41,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
When We Collided,31.77,1
Penny Maybe,33.29,3
The Dirty Little Secrets of Getting Your Dream Job,33.34,4
You can't bury them all: Poems,33.63,2
Black Dust,34.53,5
Rip it Up and Start Again,35.02,5
The Bear and the Piano,36.89,1
How Music Works,37.32,2
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1
